Berufshauptgruppe,probability
1,0.3644569948104861
2,0.4133151913726667
3,0.3923446562978112
4,0.46143866522504917
5,0.4737384212618525
6,0.5172812403199704
7,0.5147945005338294
8,0.5108758703022551
9,0.5025065881862704
