Name_de,Berufshauptgruppe,probability,isco08
Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte,3,0.5392,3211
"Bürokräfte in der Statistik, im Finanz- und Versicherungswesen",4,0.0927,4312
Pflegedienstleiter und Pflegefachkräfte,2,0.8804,2221
Universitäts- und Hochschullehrer,2,0.635,2310
"Spezialisten in Gesundheitsberufen, anderweitig nicht genannt",2,0.3218,2269
"Assistenzberufe im Gesundheitswesen, anderweitig nicht genannt",3,0.4125,3259
"Betreuungsberufe im Gesundheitswesen, anderweitig nicht genannt",5,0.2355,5329
"Führer von Erdbewegungs- und verwandten Maschinen, Strassenbau und Baumaschinen",8,0.4882,8342
Spezialisten in der strategischen Planung in Politik und Wirtschaft,2,0.1593,2422
"Fachkräfte für unternehmensbezogene Dienstleistungen, anderweitig nicht genannt",3,0.1593,3339
Medizinische Assistenten,3,0.0828,3256
"Mathematiker, Aktuare und Statistiker",2,0.7537,2120
"Assistenzberufe im Gesundheitswesen, anderweitig nicht genannt",3,0.3046,3259
Augenoptiker,3,0.5758,3254
Optometristen und Orthoptisten,2,0.6353,2267
Zahnärzte,2,0.964,2261
Zahnärzte,2,0.8793,2261
"Bürokräfte und verwandte Berufe, anderweitig nicht genannt",4,0.1539,4419
"Bediener von Verpackungs-, Abfüll- und Etikettiermaschinen",8,0.4138,8183
Automatiker und verwandte Berufe,7,0.6067,7412
Verpacker,9,0.0718,9321
Maler und verwandte Berufe,7,0.1515,7131
Bediener von Anlagen zur Zellstoff- und Papierherstellung,8,0.5107,8171
"Schutzkräfte und Sicherheitsbedienstete, anderweitig nicht genannt",5,0.1456,5419
"Hilfsarbeitskräfte, anderweitig nicht genannt",9,0.086,9629
"Schildermaler, Dekormaler, Graveure und Ätzer",7,0.0946,7316
Verkäufer  in Handelsgeschäften,5,0.2044,5223
Fachkräfte für Rechts- und verwandte Angelegenheiten,3,0.398,3411
Maler und verwandte Berufe,7,0.081,7131
"Assistenzberufe im Gesundheitswesen, anderweitig nicht genannt",3,0.2227,3259
"Führer von Erdbewegungs- und verwandten Maschinen, Strassenbau und Baumaschinen",8,0.3304,8342
Reisebegleiter und Stewards,5,0.0851,5111
Schaffner,5,0.0851,5112
Bürokräfte in der Lohnbuchhaltung,4,0.2577,4313
Finanz- und Anlageberater,2,0.4153,2412
Steuerer von Erdöl- und Erdgasraffinationsanlagen,3,0.6912,3134
"Bergbauingenieure, Metallurgen und verwandte Berufe",2,0.6048,2146
Apotheker,2,0.533,2262
"Ingenieure, anderweitig nicht genannt",2,0.9616,2149
Fotografen,3,0.494,3431
Universitäts- und Hochschullehrer,2,0.3743,2310
Bediener von Anlagen für fotografische Erzeugnisse,8,0.5414,8132
"Maschinenbautechniker, Techniker im Bereich Systemtechnik, Automation und Unternehmensprozesse",3,0.7058,3115
Chemiebetriebs- und Verfahrenstechniker,3,0.7058,3116
Bergbau- und Hüttentechniker,3,0.7058,3117
"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt",3,0.7058,3119
Physiotherapeutische Techniker und Assistenten,3,0.651,3255
Pharmazeutische Techniker und Assistenten,3,0.5942,3213
Universitäts- und Hochschullehrer,2,0.5179,2310
"Führer von Erdbewegungs- und verwandten Maschinen, Strassenbau und Baumaschinen",8,0.6118,8342
Physiker und Astronomen,2,0.8868,2111
Physiotherapeuten,2,0.6319,2264
Feldscher und vergleichbare paramedizinische Praktiker,2,0.5107,2240
Bauspengler und Sanitär- und Heizungsinstallateure,7,0.0734,7126
"Gipser, Trockenbauer",7,0.3791,7123
Bauspengler und Sanitär- und Heizungsinstallateure,7,0.3969,7126
"Bediener von Anlagen zur Metallveredlung, Plattierung und Beschichtung von Metallen",8,0.2039,8122
Bediener von Maschinen zur Herstellung von Kunststoffwaren,8,0.2039,8142
Polizeikommissare und Kriminalbeamte,3,0.5898,3355
Autoren und verwandte schriftstellerische Berufe,2,0.5036,2641
Fachkräfte im Zolldienst und Grenzschutz,3,0.5143,3351
Polizisten (ohne Polizeikommissare),5,0.5143,5412
Postverteiler und -sortierer,4,0.2519,4412
Universitäts- und Hochschullehrer,2,0.2079,2310
Postverteiler und -sortierer,4,0.1841,4412
"Philosophen, Historiker und Politologen",2,0.3187,2633
Postverteiler und -sortierer,4,0.0635,4412
Keramiker und verwandte Berufe,7,0.6284,7314
"Glasmacher, -schneider, -schleifer und -veredler",7,0.6284,7315
Tabakaufbereiter und Tabakwarenmacher,7,0.6284,7516
Bediener von Anlagen zur Glas- und Keramikherstellung,8,0.6284,8181
"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",1,0.2432,1219
Steuerer von Energieerzeugungsanlagen,3,0.4776,3131
Steuerer von Energieerzeugungsanlagen,3,0.5542,3131
Techniker in der Druckvorstufe,7,0.4716,7321
Handwäscher und Handbügler,9,0.2167,9121
Lehrkräfte und Erzieher im Vorschulbereich,2,0.1245,2342
Berufe in der Druckweiterverarbeitung und Buchbinder,7,0.3373,7323
Drucker,7,0.5131,7322
Fachkräfte für Rechts- und verwandte Angelegenheiten,3,0.6109,3411
Sozialarbeiter,2,0.41,2635
"Kodierer, Korrekturleser und verwandte Bürokräfte",4,0.0385,4413
Allgemeine Bürokräfte,4,0.3309,4110
Zahnärzte,2,0.809,2261
Immobilienmakler und -verwalter,3,0.0832,3334
"Assistenzberufe im Gesundheitswesen, anderweitig nicht genannt",3,0.304,3259
Universitäts- und Hochschullehrer,2,0.5068,2310
"Schutzkräfte und Sicherheitsbedienstete, anderweitig nicht genannt",5,0.4857,5419
Steuerer von Verbrennungs- und Wasserbehandlungsanlagen,3,0.7256,3132
Steuerer von Erdöl- und Erdgasraffinationsanlagen,3,0.7256,3134
Einkäufer,3,0.2057,3323
Chemo- und Physikotechniker,3,0.471,3111
"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt",3,0.471,3119
"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",1,0.3333,1219
Installateure und Servicetechniker im Bereich Informations- und Kommunikationstechnik,7,0.2211,7422
Ingenieure im Bereich Telekommunikationstechnik,2,0.7726,2153
Führungskräfte in der Produktion von Waren,1,0.8379,1321
Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte,3,0.6049,3211
Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte,3,0.4708,3211
Lokomotivführer,8,0.6196,8311
Hilfsarbeiter im Tiefbau,9,0.5805,9312
"Bediener von Sicherungs-, Signal- und Leittechnik im Schienennetzbetrieb",8,0.404,8312
Immobilienmakler und -verwalter,3,0.1678,3334
Immobilienmakler und -verwalter,3,0.1329,3334
"Hilfsarbeiter bei der Herstellung von Waren, anderweitig nicht genannt",9,0.4169,9329
Frachtarbeiter und verwandte Berufe,9,0.4169,9333
Wasserträger und Brennholzsammler,9,0.4169,9624
Auskunftspersonal,4,0.0448,4225
Empfangskräfte (allgemein),4,0.0448,4226
Maurer und verwandte Berufe,7,0.2569,7112
Landmaschinen- und Industriemaschinenmechaniker und -schlosser,7,0.2569,7233
Universitäts- und Hochschullehrer,2,0.4242,2310
Kraftfahrzeugmechaniker und -schlosser,7,0.5477,7231
Pflegedienstleiter und Pflegefachkräfte,2,0.7661,2221
Arbeiter in der Abfall- und Wertstoffsammlung,9,0.0625,9611
Arbeiter in der Abfallsortierung,9,0.0625,9612
Chemo- und Physikotechniker,3,0.545,3111
"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt",3,0.545,3119
Leitende Bedienstete von Interessenorganisationen,1,0.3837,1114
Führungskräfte in Unternehmenspolitik und -planung,1,0.3837,1213
"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",1,0.3837,1219
Führungskräfte in der Produktion im Bergbau,1,0.3837,1322
"Führungskräfte in der Erbringung von spezialisierten Dienstleistungen, anderweitig nicht genannt",1,0.3837,1349
"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",1,0.3837,1431
"Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt",1,0.3837,1439
Baumetallverformer und Metallbauer,7,0.5803,7214
Fachkräfte im Zolldienst und Grenzschutz,3,0.4944,3351
Fachkräfte in Sozialverwaltung und -versicherung,3,0.4944,3353
"Fachkräfte bei staatlichen Pass-, Lizenz- und Genehmigungsstellen",3,0.4944,3354
Reiseverkehrsfachkräfte,4,0.1798,4221
"Ingenieure, anderweitig nicht genannt",2,0.9642,2149
Verspannungsmonteure und Seilspleisser,7,0.3049,7215
"Schutzkräfte und Sicherheitsbedienstete, anderweitig nicht genannt",5,0.2175,5419
Elektrotechniker,3,0.8886,3113
"Maschinenbautechniker, Techniker im Bereich Systemtechnik, Automation und Unternehmensprozesse",3,0.8886,3115
Verkäufer  in Handelsgeschäften,5,0.1641,5223
Werkzeugmaschineneinrichter und -bediener,7,0.5693,7223
Bediener von Anlagen in der Metallerzeugung und -umformung,8,0.5693,8121
Bediener von Maschinen zur Herstellung von Kunststoffwaren,8,0.5693,8142
Bergleute und Grubenarbeiter,8,0.2228,8111
Fachkräfte in Marketing und Werbung,2,0.7896,2431
Führungskräfte in Vertrieb und Marketing,1,0.4409,1221
Sekretariatskräfte (allgemein),4,0.3143,4120
Bediener von Anlagen zur Holzaufbereitung,8,0.2175,8172
Tiefbohrer und verwandte Berufe,8,0.2982,8113
Lehrkräfte im Sekundarbereich,2,0.3952,2330
Deckspersonal auf Schiffen und verwandte Berufe,8,0.7589,8350
Technische Verkaufsfachkräfte (ohne Informations- und Kommunikationstechnologie),2,0.2636,2433
Technische Verkaufsfachkräfte in der Informations- und Kommunikationstechnologie,2,0.2636,2434
Technische Verkaufsfachkräfte in der Informations- und Kommunikationstechnologie,2,0.8801,2434
Tiefbohrer und verwandte Berufe,8,0.318,8113
Sicherheitsdienstleistungspersonal,5,0.0923,5414
"Betonierer, Betonoberflächenfertiger und verwandte Berufe",7,0.3095,7114
"Wertpapierhändler, -makler und Finanzmakler",3,0.4024,3311
Handelsmakler,3,0.4024,3324
Sprachlehrer,2,0.3483,2353
Musiklehrer,2,0.3483,2354
Kunstlehrer,2,0.3483,2355
Automatiker und verwandte Berufe,7,0.1923,7412
"Bediener stationärer Anlagen und Maschinen, anderweitig nicht genannt",8,0.3815,8189
Kosmetiker und verwandte Berufe,5,0.182,5142
Technische Schiffsoffiziere,3,0.5977,3151
Sonstiges Reinigungspersonal,9,0.5345,9129
Kosmetiker und verwandte Berufe,5,0.0634,5142
Automatiker und verwandte Berufe,7,0.3338,7412
Universitäts- und Hochschullehrer,2,0.1608,2310
"Statistische, mathematische und verwandte Fachkräfte",3,0.4931,3314
Führungskräfte in der Erbringung von Dienstleistungen der sozialen Institutionen,1,0.6536,1344
"Soziologen, Anthropologen und verwandte Wissenschaftler",2,0.4201,2632
"Metzger, Fischhändler und -verarbeiter und verwandte Berufe",7,0.0615,7511
"Ingenieure, anderweitig nicht genannt",2,0.8784,2149
"Näher, Sticker und verwandte Berufe",7,0.5682,7533
Bediener von Maschinen zur Schuhherstellung und verwandte Berufe,8,0.3463,8156
Molkerei- und Käsereifachkräfte,7,0.5051,7513
Bediener von Anlagen und Maschinen für chemische Erzeugnisse,8,0.5051,8131
"Baukonstruktions- und verwandte Berufe, anderweitig nicht genannt",7,0.1203,7119
Bauelektriker und verwandte Berufe,7,0.1203,7411
Poliere und Vorarbeiter,3,0.3897,3123
Raumgestalter und Dekorateure,3,0.4254,3432
Tiefbohrer und verwandte Berufe,8,0.3822,8113
Soziale Fachkräfte,3,0.2842,3412
Universitäts- und Hochschullehrer,2,0.5515,2310
Blechkaltverformer,7,0.2983,7213
"Biologen, Botaniker, Zoologen und verwandte Berufe",2,0.7311,2131
"Agrar-, Forst- und Fischereiwissenschaftler und -berater",2,0.7311,2132
"Kunsthandwerkliche Berufe für Textilien, Leder und verwandte Materialien",7,0.1893,7318
"Näher, Sticker und verwandte Berufe",7,0.1893,7533
Schuhmacher und verwandte Berufe,7,0.1893,7536
Audiologen und Sprachtherapeuten,2,0.7697,2266
Lehrkräfte im Bereich Sonderpädagogik,2,0.318,2352
Bauspengler und Sanitär- und Heizungsinstallateure,7,0.122,7126
"Assistenzberufe im Gesundheitswesen, anderweitig nicht genannt",3,0.3799,3259
"Betreuungsberufe im Gesundheitswesen, anderweitig nicht genannt",5,0.3799,5329
Technische Verkaufsfachkräfte (ohne Informations- und Kommunikationstechnologie),2,0.2053,2433
Technische Verkaufsfachkräfte in der Informations- und Kommunikationstechnologie,2,0.2053,2434
"Statistische, mathematische und verwandte Fachkräfte",3,0.5946,3314
Bediener von Dampfmaschinen und -kesseln,8,0.2691,8182
Baumetallverformer und Metallbauer,7,0.7182,7214
"Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen",1,0.5759,1324
"Mathematiker, Aktuare und Statistiker",2,0.5174,2120
Kartografen und Vermessungsingenieure,2,0.4855,2165
"Assistenzberufe im Gesundheitswesen, anderweitig nicht genannt",3,0.5489,3259
Baumetallverformer und Metallbauer,7,0.2072,7214
Spezialisten in der strategischen Planung in Politik und Wirtschaft,2,0.4297,2422
"Fachkräfte für unternehmensbezogene Dienstleistungen, anderweitig nicht genannt",3,0.4297,3339
"Steinmetze, Steinspalter, -bearbeiter und Steinbildhauer",7,0.5653,7113
"Mathematiker, Aktuare und Statistiker",2,0.7395,2120
Keramiker und verwandte Berufe,7,0.4454,7314
"Glasmacher, -schneider, -schleifer und -veredler",7,0.4454,7315
Tabakaufbereiter und Tabakwarenmacher,7,0.4454,7516
Bediener von Anlagen zur Glas- und Keramikherstellung,8,0.4454,8181
Lokomotivführer,8,0.3368,8311
Busfahrer und Strassenbahnführer,8,0.3368,8331
"Montageberufe, anderweitig nicht genannt",8,0.3637,8219
"Wirtschaftsprüfer, Steuerberater und verwandte Berufe",2,0.2341,2411
Frachtarbeiter und verwandte Berufe,9,0.6144,9333
"Herren- und Damenschneider, Kürschner und Hutmacher",7,0.5054,7531
Installateure und Servicetechniker im Bereich Informations- und Kommunikationstechnik,7,0.2892,7422
Fachkräfte in der Steuerverwaltung,3,0.2162,3352
Autoren und verwandte schriftstellerische Berufe,2,0.0927,2641
"Gipser, Trockenbauer",7,0.0114,7123
Telefonverkäufer,5,0.0415,5244
Installateure und Servicetechniker im Bereich Informations- und Kommunikationstechnik,7,0.3614,7422
"Betonierer, Betonoberflächenfertiger und verwandte Berufe",7,0.251,7114
Bediener von Bleich- und Färbemaschinen,8,0.3996,8154
"Bediener von Web-, Strick- und Wirkmaschinen",8,0.141,8152
Schalterbedienstete und Fachkräfte im Bereich Finanzdienstleistungen,4,0.2496,4211
Telefonisten,4,0.1076,4223
Boden- und Fliesenleger,7,0.3488,7122
"Bediener von Spinnstoffaufbereitungs-, Spinn- und Spulmaschinen",8,0.3836,8151
Schnittmustermacher und Zuschneider,7,0.4108,7532
Bediener von Maschinen zur Herstellung von Gummiwaren,8,0.3332,8141
Fachkräfte für Rechts- und verwandte Angelegenheiten,3,0.1166,3411
Kraftfahrzeugmechaniker und -schlosser,7,0.1622,7231
"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt",3,0.6119,3119
Werkzeugmechaniker und verwandte Berufe,7,0.885,7222
"Metallpolierer, Rundschleifer und Werkzeugschärfer",7,0.7333,7224
Reiseleiter/Fremdenführer,5,0.0588,5113
Führungskräfte im Personalwesen,1,0.3494,1212
Polizisten (ohne Polizeikommissare),5,0.639,5412
"Philosophen, Historiker und Politologen",2,0.6388,2633
Kontrolleure und Beauftragte in den Bereichen Umwelt- und Arbeitsmedizin sowie verwandte Berufe,3,0.3256,3257
"Fachkräfte für unternehmensbezogene Dienstleistungen, anderweitig nicht genannt",3,0.3951,3339
Reiseverkehrsfachkräfte,4,0.3951,4221
Reiseleiter/Fremdenführer,5,0.2995,5113
Führungskräfte im Bereich Finanzen,1,0.5341,1211
Führungskräfte in der Erbringung von Finanz- und Versicherungsdienstleistungen,1,0.5341,1346
Polsterer und verwandte Berufe,7,0.5536,7534
"Sportlehrer, Sporttrainer und Sportfunktionäre",3,0.1793,3422
"Raum-, Stadt- und Verkehrsplaner",2,0.4687,2164
"Hilfsarbeitskräfte, anderweitig nicht genannt",9,0.0371,9629
Prozess- und Produktionsingenieure,2,0.786,2141
Veterinärmedizinische Fachkräfte und Assistenten,3,0.4666,3240
Tierpfleger und -betreuer,5,0.4666,5164
Tierärzte,2,0.8229,2250
Veterinärmedizinische Fachkräfte und Assistenten,3,0.6005,3240
Steuerer von Verbrennungs- und Wasserbehandlungsanlagen,3,0.5253,3132
"Uhrmacher, Uhrenarbeiter, Mikromechaniker",7,0.4254,7311
Führungskräfte in Forschung und Entwicklung,1,0.5271,1223
"Baukonstruktions- und verwandte Berufe, anderweitig nicht genannt",7,0.1832,7119
Fachkräfte in der Lagerwirtschaft,4,0.1571,4321
Einkäufer,3,0.1784,3323
Tiefbohrer und verwandte Berufe,8,0.4795,8113
Schweisser und Brennschneider,7,0.1859,7212
Landmaschinen- und Industriemaschinenmechaniker und -schlosser,7,0.5434,7233
Leitende Bedienstete von Interessenorganisationen,1,0.621,1114
Führungskräfte in Unternehmenspolitik und -planung,1,0.621,1213
"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",1,0.621,1219
Führungskräfte in der Produktion im Bergbau,1,0.621,1322
"Führungskräfte in der Erbringung von spezialisierten Dienstleistungen, anderweitig nicht genannt",1,0.621,1349
"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",1,0.621,1431
"Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt",1,0.621,1439
"Ingenieure, anderweitig nicht genannt",2,0.7905,2149
Leitende Bedienstete von Interessenorganisationen,1,0.5022,1114
Führungskräfte in Unternehmenspolitik und -planung,1,0.5022,1213
"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",1,0.5022,1219
Führungskräfte in der Produktion im Bergbau,1,0.5022,1322
"Führungskräfte in der Erbringung von spezialisierten Dienstleistungen, anderweitig nicht genannt",1,0.5022,1349
"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",1,0.5022,1431
"Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt",1,0.5022,1439
Schreibkräfte und Bediener von Textverarbeitungsanlagen,4,0.4201,4131
Einrichter und Bediener von Holzbearbeitungsmaschinen,7,0.5681,7523
"Biologen, Botaniker, Zoologen und verwandte Berufe",2,0.8501,2131
Autoren und verwandte schriftstellerische Berufe,2,0.2202,2641
