Rank,Probability,Label,code,Occupation
415.,0.76,na,25-4011,ArchivistsArchivists
416.,0.76,na,51-9011,Chemical Equipment Operators and TendersChemical Equipment Operators and Tenders
417.,0.76,na,49-2092,Electric MotorElectric Motor Power Tool and Related Repairers
418.,0.76,na,45-4021,FallersFallers
419.,0.77,na,19-4091,Environmental Science and Protection TechniciansEnvironmental Science and Protection Technicians Including Health
420.,0.77,na,49-9094,Locksmiths and Safe RepairersLocksmiths and Safe Repairers
421.,0.77,na,37-3013,Tree Trimmers and PrunersTree Trimmers and Pruners
422.,0.77,na,35-3011,BartendersBartenders
423.,0.77,na,13-1023,Purchasing AgentsPurchasing Agents Except Wholesale Retail and Farm Products
424.,0.77,1,35-9021,DishwashersDishwashers
425.,0.77,na,45-3021,Hunters and TrappersHunters and Trappers
426.,0.78,na,31-9093,Medical Equipment PreparersMedical Equipment Preparers
427.,0.78,na,51-4031,CuttingCutting Punching and Press Machine Setters Operators and Tenders Met
428.,0.78,na,43-9011,Computer OperatorsComputer Operators
429.,0.78,na,51-8092,Gas Plant OperatorsGas Plant Operators
430.,0.79,na,43-5053,Postal Service Mail SortersPostal Service Mail Sorters Processors and Processing Machine Operators
431.,0.79,na,53-3032,Heavy and Tractor-Trailer Truck DriversHeavy and Tractor-Trailer Truck Drivers
432.,0.79,na,39-5093,ShampooersShampooers
433.,0.79,na,47-2081,Drywall and Ceiling Tile InstallersDrywall and Ceiling Tile Installers
434.,0.79,na,49-9098,Helpers-InstallationHelpers-Installation Maintenance and Repair Workers
435.,0.79,na,49-3052,Motorcycle MechanicsMotorcycle Mechanics
436.,0.79,na,51-2011,Aircraft StructureAircraft Structure Surfaces Rigging and Systems Assemblers
437.,0.79,na,45-4022,Logging Equipment OperatorsLogging Equipment Operators
438.,0.79,na,47-2042,Floor LayersFloor Layers Except Carpet Wood and Hard Tiles
439.,0.8,na,39-5011,BarbersBarbers
440.,0.8,na,47-5011,Derrick OperatorsDerrick Operators Oil and Gas
441.,0.81,1,35-2011,CooksCooks Fast Food
442.,0.81,na,43-9022,Word Processors and TypistsWord Processors and Typists
443.,0.81,1,17-3012,Electrical and Electronics DraftersElectrical and Electronics Drafters
444.,0.81,na,17-3024,Electro-Mechanical TechniciansElectro-Mechanical Technicians
445.,0.81,na,51-9192,CleaningCleaning Washing and Metal Pickling Equipment Operators and Tenders
446.,0.81,na,11-9141,PropertyProperty Real Estate and Community Association Managers
447.,0.81,na,43-6013,Medical SecretariesMedical Secretaries
448.,0.81,na,51-6021,PressersPressers Textile Garment and Related Materials
449.,0.82,na,51-2031,Engine and Other Machine AssemblersEngine and Other Machine Assemblers
450.,0.82,na,49-2098,Security and Fire Alarm Systems InstallersSecurity and Fire Alarm Systems Installers
451.,0.82,na,49-9045,Refractory Materials RepairersRefractory Materials Repairers Except Brickmasons
452.,0.82,na,39-2021,Nonfarm Animal CaretakersNonfarm Animal Caretakers
453.,0.82,na,47-2211,Sheet Metal WorkersSheet Metal Workers
454.,0.82,na,47-2072,Pile-Driver OperatorsPile-Driver Operators
455.,0.82,na,47-2021,Brickmasons and BlockmasonsBrickmasons and Blockmasons
456.,0.83,na,45-3011,Fishers and Related Fishing WorkersFishers and Related Fishing Workers
457.,0.83,na,47-2221,Structural Iron and Steel WorkersStructural Iron and Steel Workers
458.,0.83,na,53-4021,Railroad BrakeRailroad Brake Signal and Switch Operators
459.,0.83,na,53-4031,Railroad Conductors and YardmastersRailroad Conductors and Yardmasters
460.,0.83,na,35-2012,CooksCooks Institution and Cafeteria
461.,0.83,na,53-5011,Sailors and Marine OilersSailors and Marine Oilers
462.,0.83,na,51-9023,Mixing and Blending Machine SettersMixing and Blending Machine Setters Operators and Tenders
463.,0.83,na,47-3011,Helpers-BrickmasonsHelpers-Brickmasons Blockmasons Stonemasons and Tile and Marble Setter
464.,0.83,na,47-4091,Segmental PaversSegmental Pavers
465.,0.83,na,47-2131,Insulation WorkersInsulation Workers Floor Ceiling and Wall
466.,0.83,na,51-5112,Printing Press OperatorsPrinting Press Operators
467.,0.83,na,53-6031,Automotive and Watercraft Service AttendantsAutomotive and Watercraft Service Attendants
468.,0.83,na,47-4071,Septic Tank Servicers and Sewer Pipe CleanersSeptic Tank Servicers and Sewer Pipe Cleaners
469.,0.83,na,39-6011,Baggage Porters and BellhopsBaggage Porters and Bellhops
470.,0.83,na,41-2012,Gaming Change Persons and Booth CashiersGaming Change Persons and Booth Cashiers
471.,0.83,na,51-4023,Rolling Machine SettersRolling Machine Setters Operators and Tenders Metal and Plastic
472.,0.83,na,47-2071,PavingPaving Surfacing and Tamping Equipment Operators
473.,0.84,na,51-4111,Tool and Die MakersTool and Die Makers
474.,0.84,na,17-3023,Electrical and Electronics Engineering TechniciansElectrical and Electronics Engineering Technicians
475.,0.84,na,47-2161,Plasterers and Stucco MasonsPlasterers and Stucco Masons
476.,0.84,na,51-4192,Layout WorkersLayout Workers Metal and Plastic
477.,0.84,na,51-4034,Lathe and Turning Machine Tool SettersLathe and Turning Machine Tool Setters Operators and Tenders Metal and
478.,0.84,na,33-9032,Security GuardsSecurity Guards
479.,0.84,na,51-6052,TailorsTailors Dressmakers and Custom Sewers
480.,0.84,na,53-7073,Wellhead PumpersWellhead Pumpers
481.,0.84,na,43-9081,Proofreaders and Copy MarkersProofreaders and Copy Markers
482.,0.84,na,33-3041,Parking Enforcement WorkersParking Enforcement Workers
483.,0.85,na,53-7062,Laborers and FreightLaborers and Freight Stock and Material Movers Hand
484.,0.85,na,41-4012,Sales RepresentativesSales Representatives Wholesale and Manufacturing Except Technical and
485.,0.85,1,43-5041,Meter ReadersMeter Readers Utilities
486.,0.85,na,51-8013,Power Plant OperatorsPower Plant Operators
487.,0.85,na,51-8091,Chemical Plant and System OperatorsChemical Plant and System Operators
488.,0.85,na,47-5021,Earth DrillersEarth Drillers Except Oil and Gas
489.,0.85,na,19-4051,Nuclear TechniciansNuclear Technicians
490.,0.86,na,43-6011,Executive Secretaries and Executive Administrative AssistantsExecutive Secretaries and Executive Administrative Assistants
491.,0.86,na,51-8099,Plant and System OperatorsPlant and System Operators All Other
492.,0.86,na,35-3041,Food ServersFood Servers Nonrestaurant
493.,0.86,na,51-7041,Sawing Machine SettersSawing Machine Setters Operators and Tenders Wood
494.,0.86,na,53-4041,Subway and Streetcar OperatorsSubway and Streetcar Operators
495.,0.86,na,31-9096,Veterinary Assistants and Laboratory Animal CaretakersVeterinary Assistants and Laboratory Animal Caretakers
496.,0.86,na,51-9032,Cutting and Slicing Machine SettersCutting and Slicing Machine Setters Operators and Tenders
497.,0.86,na,41-9022,Real Estate Sales AgentsReal Estate Sales Agents
498.,0.86,1,51-4011,Computer-Controlled Machine Tool OperatorsComputer-Controlled Machine Tool Operators Metal and Plastic
499.,0.86,na,49-9043,Maintenance WorkersMaintenance Workers Machinery
500.,0.86,na,43-4021,Correspondence ClerksCorrespondence Clerks
501.,0.87,na,45-2090,Miscellaneous Agricultural WorkersMiscellaneous Agricultural Workers
502.,0.87,na,45-4011,Forest and Conservation WorkersForest and Conservation Workers
503.,0.87,na,51-4052,Pourers and CastersPourers and Casters Metal
504.,0.87,na,47-2041,Carpet InstallersCarpet Installers
505.,0.87,na,47-2142,PaperhangersPaperhangers
506.,0.87,na,13-1021,Buyers and Purchasing AgentsBuyers and Purchasing Agents Farm Products
507.,0.87,na,51-7021,Furniture FinishersFurniture Finishers
508.,0.87,na,35-2021,Food Preparation WorkersFood Preparation Workers
509.,0.87,na,47-2043,Floor Sanders and FinishersFloor Sanders and Finishers
510.,0.87,1,53-6021,Parking Lot AttendantsParking Lot Attendants
511.,0.87,na,47-4051,Highway Maintenance WorkersHighway Maintenance Workers
512.,0.88,na,47-2061,Construction LaborersConstruction Laborers
513.,0.88,na,43-5061,ProductionProduction Planning and Expediting Clerks
514.,0.88,na,51-9141,Semiconductor ProcessorsSemiconductor Processors
515.,0.88,na,17-1021,Cartographers and PhotogrammetristsCartographers and Photogrammetrists
516.,0.88,na,51-4051,Metal-Refining Furnace Operators and TendersMetal-Refining Furnace Operators and Tenders
517.,0.88,na,51-9012,SeparatingSeparating Filtering Clarifying Precipitating and Still Machine Sette
518.,0.88,na,51-6091,Extruding and Forming Machine SettersExtruding and Forming Machine Setters Operators and Tenders Synthetic
519.,0.88,na,47-2053,Terrazzo Workers and FinishersTerrazzo Workers and Finishers
520.,0.88,na,51-4194,Tool GrindersTool Grinders Filers and Sharpeners
521.,0.88,na,49-3043,Rail Car RepairersRail Car Repairers
522.,0.89,na,51-3011,BakersBakers
523.,0.89,1,31-9094,Medical TranscriptionistsMedical Transcriptionists
524.,0.89,na,47-2022,StonemasonsStonemasons
525.,0.89,na,53-3022,Bus DriversBus Drivers School or Special Client
526.,0.89,na,27-3042,Technical WritersTechnical Writers
527.,0.89,na,49-9096,RiggersRiggers
528.,0.89,na,47-4061,Rail-Track Laying and Maintenance Equipment OperatorsRail-Track Laying and Maintenance Equipment Operators
529.,0.89,na,51-8021,Stationary Engineers and Boiler OperatorsStationary Engineers and Boiler Operators
530.,0.89,1,51-6031,Sewing Machine OperatorsSewing Machine Operators
531.,0.89,1,53-3041,Taxi Drivers and ChauffeursTaxi Drivers and Chauffeurs
532.,0.9,1,43-4161,Human Resources AssistantsHuman Resources Assistants Except Payroll and Timekeeping
533.,0.9,na,29-2011,Medical and Clinical Laboratory TechnologistsMedical and Clinical Laboratory Technologists
534.,0.9,na,47-2171,Reinforcing Iron and Rebar WorkersReinforcing Iron and Rebar Workers
535.,0.9,na,47-2181,RoofersRoofers
536.,0.9,na,53-7021,Crane and Tower OperatorsCrane and Tower Operators
537.,0.9,na,53-6041,Traffic TechniciansTraffic Technicians
538.,0.9,na,53-6051,Transportation InspectorsTransportation Inspectors
539.,0.9,na,51-4062,PatternmakersPatternmakers Metal and Plastic
540.,0.9,na,51-9195,MoldersMolders Shapers and Casters Except Metal and Plastic
541.,0.9,na,13-2021,Appraisers and Assessors of Real EstateAppraisers and Assessors of Real Estate
542.,0.9,na,53-7072,Pump OperatorsPump Operators Except Wellhead Pumpers
543.,0.9,na,49-9097,Signal and Track Switch RepairersSignal and Track Switch Repairers
544.,0.91,na,39-3012,Gaming and Sports Book Writers and RunnersGaming and Sports Book Writers and Runners
545.,0.91,na,49-9063,Musical Instrument Repairers and TunersMusical Instrument Repairers and Tuners
546.,0.91,na,39-7011,Tour Guides and EscortsTour Guides and Escorts
547.,0.91,na,49-9011,Mechanical Door RepairersMechanical Door Repairers
548.,0.91,na,51-3091,Food and Tobacco RoastingFood and Tobacco Roasting Baking and Drying Machine Operators and Tende
549.,0.91,na,53-7071,Gas Compressor and Gas Pumping Station OperatorsGas Compressor and Gas Pumping Station Operators
550.,0.91,na,29-2071,Medical Records and Health Information TechniciansMedical Records and Health Information Technicians
551.,0.91,na,51-9121,CoatingCoating Painting and Spraying Machine Setters Operators and Tenders
552.,0.91,na,51-4081,Multiple Machine Tool SettersMultiple Machine Tool Setters Operators and Tenders Metal and Plastic
553.,0.91,na,53-4013,Rail Yard EngineersRail Yard Engineers Dinkey Operators and Hostlers
554.,0.91,na,49-2093,Electrical and Electronics Installers and RepairersElectrical and Electronics Installers and Repairers Transportation Equip
555.,0.91,na,35-9011,Dining Room and Cafeteria Attendants and Bartender HelpersDining Room and Cafeteria Attendants and Bartender Helpers
556.,0.91,na,51-4191,Heat Treating Equipment SettersHeat Treating Equipment Setters Operators and Tenders Metal and Plasti
557.,0.91,na,19-4041,Geological and Petroleum TechniciansGeological and Petroleum Technicians
558.,0.91,na,49-3021,Automotive Body and Related RepairersAutomotive Body and Related Repairers
559.,0.91,na,51-7032,PatternmakersPatternmakers Wood
560.,0.91,na,51-4021,Extruding and Drawing Machine SettersExtruding and Drawing Machine Setters Operators and Tenders Metal and
561.,0.92,na,43-9071,Office Machine OperatorsOffice Machine Operators Except Computer
562.,0.92,na,29-2052,Pharmacy TechniciansPharmacy Technicians
563.,0.92,na,43-4131,Loan Interviewers and ClerksLoan Interviewers and Clerks
564.,0.92,na,53-7031,Dredge OperatorsDredge Operators
565.,0.92,na,41-3021,Insurance Sales AgentsInsurance Sales Agents
566.,0.92,na,51-7011,Cabinetmakers and Bench CarpentersCabinetmakers and Bench Carpenters
567.,0.92,na,51-9123,PaintingPainting Coating and Decorating Workers
568.,0.92,na,47-4031,Fence ErectorsFence Erectors
569.,0.92,na,51-4193,Plating and Coating Machine SettersPlating and Coating Machine Setters Operators and Tenders Metal and Pl
570.,0.92,na,41-2031,Retail SalespersonsRetail Salespersons
571.,0.92,na,35-3021,Combined Food Preparation and Serving WorkersCombined Food Preparation and Serving Workers Including Fast Food
572.,0.92,na,51-9399,Production WorkersProduction Workers All Other
573.,0.92,na,47-3012,Helpers-CarpentersHelpers-Carpenters
574.,0.93,na,51-9193,Cooling and Freezing Equipment Operators and TendersCooling and Freezing Equipment Operators and Tenders
575.,0.93,na,51-2091,Fiberglass Laminators and FabricatorsFiberglass Laminators and Fabricators
576.,0.93,na,47-5013,Service Unit OperatorsService Unit Operators Oil Gas and Mining
577.,0.93,na,53-7011,Conveyor Operators and TendersConveyor Operators and Tenders
578.,0.93,na,49-3053,Outdoor Power Equipment and Other Small Engine MechanicsOutdoor Power Equipment and Other Small Engine Mechanics
579.,0.93,na,53-4012,Locomotive FirersLocomotive Firers
580.,0.93,na,53-7063,Machine Feeders and OffbearersMachine Feeders and Offbearers
581.,0.93,na,51-4061,Model MakersModel Makers Metal and Plastic
582.,0.93,na,49-2021,RadioRadio Cellular and Tower Equipment Installers and Repairs
583.,0.93,na,51-3021,Butchers and Meat CuttersButchers and Meat Cutters
584.,0.93,na,51-9041,ExtrudingExtruding Forming Pressing and Compacting Machine Setters Operators
585.,0.93,na,53-7081,Refuse and Recyclable Material CollectorsRefuse and Recyclable Material Collectors
586.,0.93,1,13-2081,Tax Examiners and CollectorsTax Examiners and Collectors and Revenue Agents
587.,0.93,na,51-4022,Forging Machine SettersForging Machine Setters Operators and Tenders Metal and Plastic
588.,0.93,1,53-7051,Industrial Truck and Tractor OperatorsIndustrial Truck and Tractor Operators
589.,0.94,1,13-2011,Accountants and AuditorsAccountants and Auditors
590.,0.94,na,51-4032,Drilling and Boring Machine Tool SettersDrilling and Boring Machine Tool Setters Operators and Tenders Metal a
591.,0.94,na,43-9051,Mail Clerks and Mail Machine OperatorsMail Clerks and Mail Machine Operators Except Postal Service
592.,0.94,na,35-3031,Waiters and WaitressesWaiters and Waitresses
593.,0.94,na,51-3022,MeatMeat Poultry and Fish Cutters and Trimmers
594.,0.94,na,13-2031,Budget AnalystsBudget Analysts
595.,0.94,na,47-2051,Cement Masons and Concrete FinishersCement Masons and Concrete Finishers
596.,0.94,na,49-3091,Bicycle RepairersBicycle Repairers
597.,0.94,na,49-9091,CoinCoin Vending and Amusement Machine Servicers and Repairers
598.,0.94,na,51-4121,WeldersWelders Cutters Solderers and Brazers
599.,0.94,1,43-5021,Couriers and MessengersCouriers and Messengers
600.,0.94,na,43-4111,InterviewersInterviewers Except Eligibility and Loan
601.,0.94,na,35-2015,CooksCooks Short Order
602.,0.94,na,53-7032,Excavating and Loading Machine and Dragline OperatorsExcavating and Loading Machine and Dragline Operators
603.,0.94,na,47-3014,Helpers-PaintersHelpers-Painters Paperhangers Plasterers and Stucco Masons
604.,0.94,na,43-4081,HotelHotel Motel and Resort Desk Clerks
605.,0.94,na,51-9197,Tire BuildersTire Builders
606.,0.94,na,41-9091,Door-to-Door Sales WorkersDoor-to-Door Sales Workers News and Street Vendors and Related Workers
607.,0.94,na,37-1011,First-Line Supervisors of Housekeeping and Janitorial WorkersFirst-Line Supervisors of Housekeeping and Janitorial Workers
608.,0.94,na,45-2011,Agricultural InspectorsAgricultural Inspectors
609.,0.94,1,23-2011,Paralegals and Legal AssistantsParalegals and Legal Assistants
610.,0.95,na,39-5092,Manicurists and PedicuristsManicurists and Pedicurists
611.,0.95,na,43-5111,WeighersWeighers Measurers Checkers and Samplers Recordkeeping
612.,0.95,na,51-6062,Textile Cutting Machine SettersTextile Cutting Machine Setters Operators and Tenders
613.,0.95,na,43-3011,Bill and Account CollectorsBill and Account Collectors
614.,0.95,na,51-8011,Nuclear Power Reactor OperatorsNuclear Power Reactor Operators
615.,0.95,na,33-9031,Gaming Surveillance Officers and Gaming InvestigatorsGaming Surveillance Officers and Gaming Investigators
616.,0.95,na,43-4121,Library AssistantsLibrary Assistants Clerical
617.,0.95,na,47-2073,Operating Engineers and Other Construction Equipment OperatorsOperating Engineers and Other Construction Equipment Operators
618.,0.95,na,51-5113,Print Binding and Finishing WorkersPrint Binding and Finishing Workers
619.,0.95,na,45-2021,Animal BreedersAnimal Breeders
620.,0.95,na,51-4072,MoldingMolding Coremaking and Casting Machine Setters Operators and Tenders
621.,0.95,1,51-2022,Electrical and Electronic Equipment AssemblersElectrical and Electronic Equipment Assemblers
622.,0.95,na,51-9191,Adhesive Bonding Machine Operators and TendersAdhesive Bonding Machine Operators and Tenders
623.,0.95,na,37-3011,Landscaping and Groundskeeping WorkersLandscaping and Groundskeeping Workers
624.,0.95,na,51-4033,GrindingGrinding Lapping Polishing and Buffing Machine Tool Setters Operators
625.,0.95,na,43-5051,Postal Service ClerksPostal Service Clerks
626.,0.95,na,51-9071,Jewelers and Precious Stone and Metal WorkersJewelers and Precious Stone and Metal Workers
627.,0.96,na,43-5032,DispatchersDispatchers Except Police Fire and Ambulance
628.,0.96,na,43-4171,Receptionists and Information ClerksReceptionists and Information Clerks
629.,0.96,na,43-9061,Office ClerksOffice Clerks General
630.,0.96,na,11-3111,Compensation and Benefits ManagersCompensation and Benefits Managers
631.,0.96,1,43-2011,Switchboard OperatorsSwitchboard Operators Including Answering Service
632.,0.96,na,35-3022,Counter AttendantsCounter Attendants Cafeteria Food Concession and Coffee Shop
633.,0.96,na,47-5051,Rock SplittersRock Splitters Quarry
634.,0.96,na,43-6014,Secretaries and Administrative AssistantsSecretaries and Administrative Assistants Except Legal Medical and Exe
635.,0.96,na,17-3031,Surveying and Mapping TechniciansSurveying and Mapping Technicians
636.,0.96,na,51-7031,Model MakersModel Makers Wood
637.,0.96,na,51-6064,Textile WindingTextile Winding Twisting and Drawing Out Machine Setters Operators an
638.,0.96,na,53-4011,Locomotive EngineersLocomotive Engineers
639.,0.96,1,39-3011,Gaming DealersGaming Dealers
640.,0.96,na,49-9093,Fabric MendersFabric Menders Except Garment
641.,0.96,na,35-2014,CooksCooks Restaurant
642.,0.96,na,39-3031,UshersUshers Lobby Attendants and Ticket Takers
643.,0.96,na,43-3021,Billing and Posting ClerksBilling and Posting Clerks
644.,0.97,na,53-6011,Bridge and Lock TendersBridge and Lock Tenders
645.,0.97,na,51-7042,Woodworking Machine SettersWoodworking Machine Setters Operators and Tenders Except Sawing
646.,0.97,na,51-2092,Team AssemblersTeam Assemblers
647.,0.97,na,51-6042,Shoe Machine Operators and TendersShoe Machine Operators and Tenders
648.,0.97,na,51-2023,Electromechanical Equipment AssemblersElectromechanical Equipment Assemblers
649.,0.97,1,13-1074,Farm Labor ContractorsFarm Labor Contractors
650.,0.97,na,51-6061,Textile Bleaching and Dyeing Machine Operators and TendersTextile Bleaching and Dyeing Machine Operators and Tenders
651.,0.97,na,51-9081,Dental Laboratory TechniciansDental Laboratory Technicians
652.,0.97,na,51-9021,CrushingCrushing Grinding and Polishing Machine Setters Operators and Tenders
653.,0.97,na,51-9022,Grinding and Polishing WorkersGrinding and Polishing Workers Hand
654.,0.97,na,37-3012,Pesticide HandlersPesticide Handlers Sprayers and Applicators Vegetation
655.,0.97,na,45-4023,Log Graders and ScalersLog Graders and Scalers
656.,0.97,na,51-9083,Ophthalmic Laboratory TechniciansOphthalmic Laboratory Technicians
657.,0.97,1,41-2011,CashiersCashiers
658.,0.97,na,49-9061,Camera and Photographic Equipment RepairersCamera and Photographic Equipment Repairers
659.,0.97,na,39-3021,Motion Picture ProjectionistsMotion Picture Projectionists
660.,0.97,na,51-5111,Prepress Technicians and WorkersPrepress Technicians and Workers
661.,0.97,na,41-2021,Counter and Rental ClerksCounter and Rental Clerks
662.,0.97,1,43-4071,File ClerksFile Clerks
663.,0.97,na,41-9021,Real Estate BrokersReal Estate Brokers
664.,0.97,na,43-2021,Telephone OperatorsTelephone Operators
665.,0.97,na,19-4011,Agricultural and Food Science TechniciansAgricultural and Food Science Technicians
666.,0.97,na,43-3051,Payroll and Timekeeping ClerksPayroll and Timekeeping Clerks
667.,0.97,na,43-4041,Credit AuthorizersCredit Authorizers Checkers and Clerks
668.,0.97,na,35-9031,Hosts and HostessesHosts and Hostesses Restaurant Lounge and Coffee Shop
669.,0.98,na,41-9012,ModelsModels
670.,0.98,na,51-9061,InspectorsInspectors Testers Sorters Samplers and Weighers
671.,0.98,na,43-3031,BookkeepingBookkeeping Accounting and Auditing Clerks
672.,0.98,na,43-6012,Legal SecretariesLegal Secretaries
673.,0.98,na,27-4013,Radio OperatorsRadio Operators
674.,0.98,na,53-3031,Driver/Sales WorkersDriver/Sales Workers
675.,0.98,na,13-1031,Claims AdjustersClaims Adjusters Examiners and Investigators
676.,0.98,na,41-2022,Parts SalespersonsParts Salespersons
677.,0.98,na,13-2041,Credit AnalystsCredit Analysts
678.,0.98,na,51-4035,Milling and Planing Machine SettersMilling and Planing Machine Setters Operators and Tenders Metal and Pl
679.,0.98,na,43-5071,ShippingShipping Receiving and Traffic Clerks
680.,0.98,na,43-3061,Procurement ClerksProcurement Clerks
681.,0.98,na,51-9111,Packaging and Filling Machine Operators and TendersPackaging and Filling Machine Operators and Tenders
682.,0.98,na,51-9194,Etchers and EngraversEtchers and Engravers
683.,0.98,na,43-3071,TellersTellers
684.,0.98,na,27-2023,UmpiresUmpires Referees and Other Sports Officials
685.,0.98,na,13-1032,Insurance AppraisersInsurance Appraisers Auto Damage
686.,0.98,1,13-2072,Loan OfficersLoan Officers
687.,0.98,na,43-4151,Order ClerksOrder Clerks
688.,0.98,na,43-4011,Brokerage ClerksBrokerage Clerks
689.,0.98,na,43-9041,Insurance Claims and Policy Processing ClerksInsurance Claims and Policy Processing Clerks
690.,0.98,na,51-2093,Timing Device Assemblers and AdjustersTiming Device Assemblers and Adjusters
691.,0.99,1,43-9021,Data Entry KeyersData Entry Keyers
692.,0.99,na,25-4031,Library TechniciansLibrary Technicians
693.,0.99,na,43-4141,New Accounts ClerksNew Accounts Clerks
694.,0.99,na,51-9151,Photographic Process Workers and Processing Machine OperatorsPhotographic Process Workers and Processing Machine Operators
695.,0.99,na,13-2082,Tax PreparersTax Preparers
696.,0.99,na,43-5011,Cargo and Freight AgentsCargo and Freight Agents
697.,0.99,na,49-9064,Watch RepairersWatch Repairers
698.,0.99,1,13-2053,Insurance UnderwritersInsurance Underwriters
699.,0.99,na,15-2091,Mathematical TechniciansMathematical Technicians
700.,0.99,na,51-6051,SewersSewers Hand
701.,,na,0.99,23-2093 Title Examiners23-2093 Title Examiners Abstractors and Searchers
702.,0.99,na,41-9041,TelemarketersTelemarketers
