Berufshauptgruppe,s4,s8,s15,s24,s26,s27,s31,a12
1,0.6607142857142857,0.71,0.5989285714285714,0.19571428571428573,0.045,0.0,0.18214285714285713,0.7275
2,0.6125,0.64375,0.48640625,0.21546875000000001,0.0946875,0.014062499999999999,0.14359375,0.70078125
3,0.5758620689655172,0.5582758620689655,0.43931034482758624,0.17724137931034484,0.18362068965517242,0.03431034482758621,0.34310344827586203,0.6562068965517242
4,0.5136363636363637,0.45909090909090905,0.3690909090909091,0.08681818181818182,0.01863636363636364,0.0,0.09545454545454546,0.5218181818181818
5,0.5810714285714286,0.435,0.42750000000000005,0.13857142857142857,0.09571428571428572,0.0035714285714285718,0.1907142857142857,0.5303571428571429
6,0.4636363636363636,0.48636363636363633,0.29636363636363633,0.1109090909090909,0.25545454545454543,0.026363636363636367,0.5081818181818182,0.5381818181818182
7,0.44545454545454544,0.47345454545454546,0.32636363636363636,0.17727272727272728,0.3365454545454546,0.14763636363636365,0.46345454545454545,0.5463636363636364
8,0.44361111111111107,0.46194444444444444,0.29666666666666663,0.12333333333333335,0.31194444444444447,0.10333333333333333,0.6075,0.5258333333333334
9,0.4075,0.3754166666666667,0.27,0.08416666666666667,0.255,0.08083333333333333,0.4495833333333333,0.46875
